iter	Passed	Remaining
0	0	84
1	1	82
2	2	78
3	2	71
4	3	68
5	4	66
6	4	65
7	5	63
8	6	63
9	7	63
10	7	61
11	8	61
12	9	60
13	9	59
14	10	58
15	11	58
16	11	57
17	12	56
18	13	55
19	13	54
20	14	53
21	14	52
22	15	51
23	16	51
24	16	50
25	17	49
26	18	48
27	18	48
28	19	47
29	20	47
30	21	47
31	21	46
32	22	45
33	23	45
34	24	44
35	24	44
36	25	43
37	26	42
38	27	42
39	27	41
40	28	41
41	29	40
42	29	39
43	30	38
44	31	38
45	31	37
46	32	36
47	33	35
48	33	35
49	34	34
50	35	34
51	36	33
52	37	33
53	38	32
54	38	31
55	39	30
56	39	30
57	40	29
58	41	28
59	41	27
60	42	27
61	43	26
62	43	25
63	44	24
64	44	24
65	45	23
66	46	22
67	46	22
68	47	21
69	48	20
70	49	20
71	50	19
72	51	19
73	52	18
74	53	17
75	54	17
76	55	16
77	57	16
78	57	15
79	58	14
80	59	13
81	60	13
82	60	12
83	61	11
84	62	10
85	62	10
86	63	9
87	64	8
88	65	8
89	65	7
90	66	6
91	66	5
92	67	5
93	68	4
94	68	3
95	69	2
96	70	2
97	70	1
98	71	0
99	72	0
